Date,Cases,Deaths
2/8/2021,903,23
2/9/2021,976,41
2/10/2021,1137,33
2/11/2021,1199,21
2/12/2021,1112,36
2/13/2021,1159,33
2/14/2021,847,18
2/15/2021,722,26
2/16/2021,516,32
2/17/2021,759,18
2/18/2021,986,31
2/19/2021,1008,16
2/20/2021,763,20
2/21/2021,618,18
2/22/2021,611,17
2/23/2021,662,30
2/24/2021,862,27
2/25/2021,976,16
2/26/2021,970,33
2/27/2021,836,18
2/28/2021,827,13
3/1/2021,603,10
3/2/2021,468,26
3/3/2021,786,14
3/4/2021,809,3
3/5/2021,913,8
3/6/2021,932,11
3/7/2021,709,14
3/8/2021,716,8
3/9/2021,631,25
3/10/2021,900,14
3/11/2021,924,12
3/12/2021,990,16
3/13/2021,1101,8
3/14/2021,860,10
3/15/2021,617,7
3/16/2021,658,25
3/17/2021,917,19
3/18/2021,1113,14
3/19/2021,1152,19
3/20/2021,1118,26
3/21/2021,1007,12
3/22/2021,682,14
3/23/2021,722,11
3/24/2021,1173,19
3/25/2021,1382,3
3/26/2021,1361,15
3/27/2021,1366,14
3/28/2021,1335,5
3/29/2021,1031,9
3/30/2021,903,13
3/31/2021,1366,13
4/1/2021,1584,17
4/2/2021,1457,16
4/3/2021,1275,23
4/4/2021,1669,8
4/5/2021,859,13
4/6/2021,867,15
4/7/2021,1471,11
4/8/2021,1297,21
4/9/2021,1840,14
4/10/2021,1584,20
4/11/2021,1483,11
4/12/2021,985,15
4/13/2021,1084,14
4/14/2021,1552,9
4/15/2021,1444,19
4/16/2021,1564,16
4/17/2021,1500,17
4/18/2021,1169,17
4/19/2021,631,12
4/20/2021,925,18
4/21/2021,1205,13
4/22/2021,1203,20
4/23/2021,1163,8
4/24/2021,1196,15
4/25/2021,906,13
4/26/2021,557,9
4/27/2021,677,18
4/28/2021,1002,21
4/29/2021,966,9
4/30/2021,942,26
5/1/2021,939,20
5/2/2021,649,12
5/3/2021,520,12
5/4/2021,501,15
5/5/2021,679,10
5/6/2021,578,9
5/7/2021,768,11
5/8/2021,656,10
5/9/2021,434,8
5/10/2021,276,10
5/11/2021,399,9
5/12/2021,471,9
5/13/2021,474,17
5/14/2021,512,12
5/15/2021,378,17
5/16/2021,369,4
5/17/2021,212,3
5/18/2021,212,13
5/19/2021,337,12
5/20/2021,319,2
5/21/2021,443,14
5/22/2021,521,17
5/23/2021,244,17
5/24/2021,228,15
5/25/2021,160,7
5/26/2021,198,8
5/27/2021,217,544
5/28/2021,248,11
5/29/2021,185,7
5/30/2021,249,8
5/31/2021,117,7
6/1/2021,101,2
6/2/2021,65,6
6/3/2021,134,4
6/4/2021,145,4
6/5/2021,132,9
6/6/2021,104,6
6/7/2021,84,4
6/8/2021,78,4
6/9/2021,126,5
6/10/2021,121,9
6/11/2021,113,10
6/12/2021,86,6
6/13/2021,82,3
6/14/2021,60,2
6/15/2021,67,1
6/16/2021,78,6
6/17/2021,79,3
6/18/2021,86,4
6/19/2021,62,5
6/20/2021,42,0
6/21/2021,40,0
6/22/2021,49,8
6/23/2021,59,7
6/24/2021,66,7
6/25/2021,64,1
6/26/2021,61,4
6/27/2021,66,3
6/28/2021,37,2
6/29/2021,36,1
6/30/2021,62,1
7/1/2021,75,3
7/2/2021,85,2
7/3/2021,96,3
7/4/2021,61,0
7/5/2021,38,2
7/6/2021,47,3
7/7/2021,55,1
7/8/2021,99,3
7/9/2021,145,3
7/10/2021,127,1
7/11/2021,79,0
7/12/2021,79,1
7/13/2021,118,4
7/14/2021,104,4
7/15/2021,178,4
7/16/2021,183,5
7/17/2021,183,2
7/18/2021,166,1
7/19/2021,139,1
7/20/2021,155,6
7/21/2021,244,4
7/22/2021,303,6
7/23/2021,288,3
7/24/2021,317,5
7/25/2021,306,1
7/26/2021,256,1
7/27/2021,309,2
7/28/2021,416,3
7/29/2021,505,5
7/30/2021,526,0
7/31/2021,587,7
8/1/2021,547,3
8/2/2021,447,1
8/3/2021,368,6
8/4/2021,695,5
8/5/2021,729,2
8/6/2021,890,4
8/7/2021,892,3
8/8/2021,853,8
8/9/2021,586,4
8/10/2021,629,8
8/11/2021,886,1
8/12/2021,1047,3
8/13/2021,950,5
8/14/2021,1016,9
8/15/2021,869,4
8/16/2021,766,5
8/17/2021,851,3
8/18/2021,1012,8
8/19/2021,1060,9
8/20/2021,1206,6
8/21/2021,1131,16
8/22/2021,990,5
8/23/2021,925,5
8/24/2021,847,8
8/25/2021,1190,11
8/26/2021,1244,4
8/27/2021,1373,8
8/28/2021,1368,12
8/29/2021,1067,12
8/30/2021,942,9
8/31/2021,1078,10
9/1/2021,1374,10
9/2/2021,1272,16
9/3/2021,1387,11
9/4/2021,1194,10
9/5/2021,805,12
9/6/2021,1027,14
9/7/2021,795,7
9/8/2021,701,21
9/9/2021,907,9
9/10/2021,1553,15
9/11/2021,1376,20
9/12/2021,1150,17
9/13/2021,1103,13
9/14/2021,1094,16
9/15/2021,1189,12
9/16/2021,1330,21
9/17/2021,1525,12
9/18/2021,1277,13
9/19/2021,1036,0
9/20/2021,1139,0
9/21/2021,974,46
9/22/2021,1145,23
9/23/2021,1405,16
9/24/2021,1363,14
9/25/2021,1567,7
9/26/2021,1114,15
9/27/2021,960,11
9/28/2021,972,18
9/29/2021,1125,13
9/30/2021,1479,16
10/1/2021,1530,18
10/2/2021,1287,14
10/3/2021,1092,4
10/4/2021,1078,13
10/5/2021,649,21
10/6/2021,1077,21
10/7/2021,1398,17
10/8/2021,1176,13
10/9/2021,1259,20
10/10/2021,1333,10
10/11/2021,809,7
10/12/2021,411,27
10/13/2021,1113,17
10/14/2021,1123,20
10/15/2021,1068,18
10/16/2021,936,21
10/17/2021,871,5
10/18/2021,714,14
10/19/2021,543,13
10/20/2021,717,22
10/21/2021,1069,14
10/22/2021,863,14
10/23/2021,910,11
10/24/2021,717,10
10/25/2021,512,5
10/26/2021,597,16
10/27/2021,731,13
10/28/2021,929,14
10/29/2021,911,11
10/30/2021,871,17
10/31/2021,636,13
11/1/2021,448,13
