Date,VZ_Close_Last,T_Close_Last
2021-03-03,55.38,22.47
2021-03-02,54.98,22.08
2021-03-01,55.36,21.98
2021-02-26,55.3,21.82
2021-02-25,56.5,22.4
2021-02-24,57.12,22.99
2021-02-23,57.03,22.83
2021-02-22,56.45,22.94
2021-02-19,56.45,22.69
2021-02-18,56.98,22.87
2021-02-17,56.99,23.14
2021-02-16,54.15,22.67
2021-02-12,54.2,22.54
2021-02-11,54.6,22.45
2021-02-10,54.96,22.34
2021-02-09,55.0,22.4
2021-02-08,55.05,22.51
2021-02-05,55.32,22.64
2021-02-04,55.14,22.61
2021-02-03,54.79,22.31
2021-02-02,54.5,22.33
2021-02-01,54.28,22.42
2021-01-29,54.75,22.4
2021-01-28,55.37,22.54
2021-01-27,55.13,22.8
2021-01-26,56.57,23.28
2021-01-25,58.42,22.78
2021-01-22,57.47,22.64
2021-01-21,57.27,22.56
2021-01-20,57.26,22.66
2021-01-19,57.05,22.65
2021-01-15,57.38,22.83
2021-01-14,57.04,22.92
2021-01-13,57.06,22.39
2021-01-12,57.26,22.5
2021-01-11,57.46,22.59
2021-01-08,57.8,22.71
2021-01-07,58.53,23.41
2021-01-06,59.29,23.34
2021-01-05,58.58,22.9
2021-01-04,58.85,23.04
2020-12-31,58.75,22.51
2020-12-30,58.14,22.29
2020-12-29,58.81,22.33
2020-12-28,58.98,22.34
2020-12-24,58.84,22.45
2020-12-23,58.96,22.5
2020-12-22,58.99,22.22
2020-12-21,59.49,22.7
2020-12-18,60.46,23.01
2020-12-17,60.01,23.18
2020-12-16,59.91,23.7
2020-12-15,60.55,23.93
2020-12-14,59.98,23.91
2020-12-11,60.35,24.27
2020-12-10,60.51,24.02
2020-12-09,61.46,24.62
2020-12-08,61.45,24.11
2020-12-07,61.35,23.19
2020-12-04,61.55,23.12
2020-12-03,61.74,22.87
2020-12-02,61.36,22.76
2020-12-01,60.58,22.59
2020-11-30,60.41,22.5
2020-11-27,60.58,22.72
2020-11-25,60.41,22.69
2020-11-24,60.64,22.87
2020-11-23,60.23,22.4
2020-11-20,60.04,22.16
2020-11-19,60.21,22.13
2020-11-18,60.32,22.4
2020-11-17,60.75,22.72
2020-11-16,60.89,22.67
2020-11-13,61.06,22.62
2020-11-12,60.79,22.25
2020-11-11,61.0,22.48
2020-11-10,61.1,22.58
2020-11-09,59.84,22.15
2020-11-06,58.53,21.47
2020-11-05,58.15,21.53
2020-11-04,57.22,21.16
2020-11-03,57.75,21.49
2020-11-02,57.7,21.39
2020-10-30,56.99,21.14
2020-10-29,56.76,20.94
2020-10-28,56.31,20.74
2020-10-27,57.38,21.07
2020-10-26,57.81,21.43
2020-10-23,57.96,21.77
2020-10-22,57.33,22.13
2020-10-21,56.75,20.91
2020-10-20,57.25,20.94
2020-10-19,57.3,21.03
2020-10-16,58.05,21.39
2020-10-15,58.16,21.48
2020-10-14,58.43,21.51
2020-10-13,59.36,21.71
2020-10-12,59.55,22.01
2020-10-09,59.33,22.16
2020-10-08,59.19,22.39
2020-10-07,59.61,22.54
2020-10-06,59.46,22.47
2020-10-05,59.66,22.43
2020-10-02,59.24,22.44
2020-10-01,59.45,22.29
2020-09-30,59.49,22.31
2020-09-29,59.24,22.15
2020-09-28,59.36,22.21
2020-09-25,59.39,21.94
2020-09-24,59.19,21.94
2020-09-23,58.91,21.81
2020-09-22,59.82,22.31
2020-09-21,59.61,22.4
2020-09-18,60.35,22.64
2020-09-17,60.59,22.75
2020-09-16,60.37,22.88
2020-09-15,60.6,22.79
2020-09-14,60.32,22.8
2020-09-11,59.79,22.69
2020-09-10,59.53,22.62
2020-09-09,60.04,22.98
2020-09-08,59.96,23.09
2020-09-04,60.48,23.02
2020-09-03,60.61,23.15
2020-09-02,60.53,23.24
2020-09-01,59.16,23.06
2020-08-31,59.27,23.33
2020-08-28,59.26,23.51
2020-08-27,59.43,23.4
2020-08-26,59.46,23.47
2020-08-25,59.42,23.4
2020-08-24,59.57,23.5
2020-08-21,58.99,23.23
2020-08-20,58.96,23.22
2020-08-19,59.05,23.26
2020-08-18,59.18,23.31
2020-08-17,58.78,23.36
2020-08-14,58.79,23.48
2020-08-13,58.52,23.41
2020-08-12,58.6,23.62
2020-08-11,58.51,23.63
2020-08-10,58.99,23.63
2020-08-07,58.53,23.49
2020-08-06,57.83,23.35
2020-08-05,57.54,23.36
2020-08-04,57.91,23.48
2020-08-03,57.24,23.18
2020-07-31,57.48,23.15
