Date,VZ_Close_Last,T_Close_Last
3/4/2022,55.11,18.68
3/3/2022,54.66,18.71
3/2/2022,54.14,18.64
3/1/2022,53.61,18.41
2/28/2022,53.67,18.54
2/25/2022,54.12,18.71
2/24/2022,52.59,18.18
2/23/2022,53.41,18.40
2/22/2022,53.90,18.58
2/18/2022,53.83,18.68
2/17/2022,53.58,18.59
2/16/2022,53.40,18.73
2/15/2022,53.36,19.05
2/14/2022,53.27,18.82
2/11/2022,53.32,18.88
2/10/2022,53.04,18.98
2/9/2022,53.50,19.17
2/8/2022,52.82,18.73
2/7/2022,53.00,18.73
2/4/2022,53.31,18.84
2/3/2022,53.79,19.22
2/2/2022,53.80,19.20
2/1/2022,53.20,19.11
1/31/2022,53.23,19.95
1/28/2022,52.90,19.73
1/27/2022,51.19,18.87
1/26/2022,51.02,18.98
1/25/2022,52.90,20.72
1/24/2022,52.96,20.61
1/21/2022,53.16,20.82
1/20/2022,53.40,21.14
1/19/2022,53.50,21.35
1/18/2022,53.43,21.37
1/14/2022,53.28,21.27
1/13/2022,53.52,20.97
1/12/2022,53.45,20.70
1/11/2022,53.59,20.61
1/10/2022,53.87,20.71
1/7/2022,54.24,20.57
1/6/2022,53.76,20.43
1/5/2022,54.02,20.51
1/4/2022,53.47,20.06
1/3/2022,52.44,19.90
12/31/2021,51.96,19.25
12/30/2021,52.25,19.39
12/29/2021,52.36,19.28
12/28/2021,52.72,19.42
12/27/2021,52.68,19.39
12/23/2021,52.68,19.46
12/22/2021,52.77,19.39
12/21/2021,52.78,19.15
12/20/2021,53.09,18.93
12/17/2021,53.17,18.61
12/16/2021,52.75,18.55
12/15/2021,50.55,17.35
12/14/2021,50.65,17.44
12/13/2021,50.28,17.56
12/10/2021,50.19,17.87
12/9/2021,50.16,17.95
12/8/2021,50.49,18.13
12/7/2021,50.79,18.06
12/6/2021,51.07,18.22
12/3/2021,51.42,18.36
12/2/2021,50.73,18.04
12/1/2021,49.77,17.40
11/30/2021,50.27,17.86
11/29/2021,51.66,18.69
11/26/2021,51.80,18.95
11/24/2021,51.66,19.15
11/23/2021,51.75,19.38
11/22/2021,51.54,19.33
11/19/2021,50.86,18.88
11/18/2021,51.24,19.09
11/17/2021,51.73,19.30
11/16/2021,52.06,19.30
11/15/2021,52.40,19.41
11/12/2021,52.34,19.52
11/11/2021,52.45,19.50
11/10/2021,52.60,19.52
11/9/2021,52.24,19.34
11/8/2021,52.33,19.47
11/5/2021,52.24,19.64
