Date,State,Cases,Deaths
2020-12-05,Alabama,3390,46
2020-12-06,Alabama,2288,12
2020-12-07,Alabama,2352,3
2020-12-08,Alabama,4436,50
2020-12-09,Alabama,3522,43
2020-12-10,Alabama,4735,49
2020-12-11,Alabama,3853,52
2020-12-12,Alabama,4066,16
2020-12-13,Alabama,2790,0
2020-12-14,Alabama,2264,0
2020-12-15,Alabama,3638,22
2020-12-16,Alabama,4107,74
2020-12-17,Alabama,4695,56
2020-12-18,Alabama,5348,42
2020-12-19,Alabama,4221,93
2020-12-20,Alabama,2548,0
2020-12-21,Alabama,2380,0
2020-12-22,Alabama,4979,63
2020-12-23,Alabama,4758,135
2020-12-24,Alabama,4232,89
2020-12-25,Alabama,3625,4
2020-12-26,Alabama,1032,5
2020-12-27,Alabama,2170,6
2020-12-28,Alabama,2269,21
2020-12-29,Alabama,3907,25
2020-12-30,Alabama,5016,37
2020-12-31,Alabama,4406,53
2021-01-01,Alabama,4521,45
2021-01-02,Alabama,3711,0
2021-01-03,Alabama,2476,1
2021-01-04,Alabama,2161,5
2021-01-05,Alabama,5498,8
2021-01-06,Alabama,4591,108
2021-01-07,Alabama,5046,86
2021-01-08,Alabama,5057,111
2021-01-09,Alabama,4863,108
2021-01-10,Alabama,2750,35
2021-01-11,Alabama,2100,13
2021-01-12,Alabama,3848,226
2021-01-13,Alabama,3147,187
2021-01-14,Alabama,3588,185
2021-01-15,Alabama,2945,85
2021-01-16,Alabama,3153,89
2021-01-17,Alabama,1917,1
2021-01-18,Alabama,1430,1
2021-01-19,Alabama,2515,5
2021-01-20,Alabama,3112,157
2021-01-21,Alabama,2881,96
2021-01-22,Alabama,3551,107
2021-01-23,Alabama,3355,171
2021-01-24,Alabama,1728,3
2021-01-25,Alabama,1839,2
2021-01-26,Alabama,2900,234
2021-01-27,Alabama,3177,276
2021-01-28,Alabama,3648,168
2021-01-29,Alabama,2848,226
2021-01-30,Alabama,0,0
2021-01-31,Alabama,4057,122
2021-02-01,Alabama,1221,0
2021-02-02,Alabama,2078,206
2021-02-03,Alabama,2118,309
2021-02-04,Alabama,2767,162
2021-02-05,Alabama,1496,84
2021-02-06,Alabama,1992,64
2021-02-07,Alabama,1112,2
2021-02-08,Alabama,925,8
2021-02-09,Alabama,1318,56
2021-02-10,Alabama,1401,309
2021-02-11,Alabama,1503,133
2021-02-12,Alabama,1097,159
2021-02-13,Alabama,1189,62
